compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
N-Isopropyl carfentanil,79,7.0,7.05285022042783,-0.05285022042783005,0.05285022042783005
Norcarfentanil,80,5.3,5.292040011039443,0.007959988960556608,0.007959988960556608
4-Methoxymethyl fentanyl,81,22.5,17.082945725809783,5.4170542741902175,5.4170542741902175
Norsufentanil,82,7.9,7.473357457054217,0.42664254294578363,0.42664254294578363
Thienyl fentanyl,83,10.7,11.762891699697358,-1.0628916996973583,1.0628916996973583
omega-Hydroxy fentanyl,84,7.7,11.473957266414397,-3.7739572664143965,3.7739572664143965
2-Isopropylfuranyl fentanyl,85,24.6,25.90017576889649,-1.3001757688964872,1.3001757688964872
β-Methyl acetyl fentanyl,86,12.6,14.378922790233165,-1.7789227902331657,1.7789227902331657
3-Methylbutyr fentanyl,87,22.2,21.71239641023442,0.4876035897655804,0.4876035897655804
β-Hydroxythiofentanyl,88,9.9,9.489577458174715,0.4104225418252856,0.4104225418252856
Isovalerylfentanyl,89,22.7,22.082974541175773,0.6170254588242265,0.6170254588242265
3-Allyl fentanyl,90,23.4,24.109141046710935,-0.7091410467109363,0.7091410467109363
para-Chlorofentanyl,91,20.8,20.575290102032177,0.22470989796782348,0.22470989796782348
Trefentanil,92,22.9,22.69633596747367,0.20366403252632992,0.20366403252632992
Lofentanil,93,19.6,19.658505344750854,-0.05850534475085212,0.05850534475085212
