compound,compound_idx,y_true,y_loo_pred,residual,abs_residual
"2,2′-Difluorofentanyl",64,17.6,16.313189545454527,1.2868104545454742,1.2868104545454742
Valerylfentanyl oxalate,65,23.5,23.009465555555554,0.49053444444444594,0.49053444444444594
"Fentanyl, 4-N-propyl analog",66,5.8,8.250432445887446,-2.4504324458874462,2.4504324458874462
N-Methyl norfentanyl,67,4.2,5.517087380952372,-1.3170873809523718,1.3170873809523718
Norfentanyl,68,4.2,4.79984857142857,-0.59984857142857,0.59984857142857
Butyryl norfentanyl,69,6.6,5.172475562770564,1.4275244372294358,1.4275244372294358
Furanyl norfentanyl,70,5.1,7.776547301587297,-2.6765473015872976,2.6765473015872976
β-Methylfentanyl,71,17.7,17.53044489177489,0.1695551082251079,0.1695551082251079
Tetramethylcyclopropylfentanyl,72,25.6,22.210138333333326,3.3898616666666754,3.3898616666666754
Fentanyl propyl acetyl analog,73,13.8,14.941474047619042,-1.1414740476190417,1.1414740476190417
Fentanyl N-oxide,74,19.5,15.169504141414135,4.330495858585865,4.330495858585865
Mirfentanil,75,8.8,12.07664933621935,-3.27664933621935,3.27664933621935
Fentanyl isothiocyanate,76,25.1,21.11291956349205,3.987080436507952,3.987080436507952
α-Methylbutyryl fentanyl,77,21.1,22.639283896103898,-1.5392838961038962,1.5392838961038962
N-Propyl carfentanil,78,7.4,7.150295627705628,0.2497043722943726,0.2497043722943726
N-Isopropyl carfentanil,79,7.0,6.933141666666665,0.06685833333333502,0.06685833333333502
Norcarfentanil,80,5.3,5.6613895238095395,-0.3613895238095397,0.3613895238095397
4-Methoxymethyl fentanyl,81,22.5,18.914116349206342,3.585883650793658,3.585883650793658
Norsufentanil,82,7.9,6.172928571428566,1.727071428571434,1.727071428571434
Thienyl fentanyl,83,10.7,13.070043001442992,-2.3700430014429923,2.3700430014429923
omega-Hydroxy fentanyl,84,7.7,12.551370411255403,-4.851370411255403,4.851370411255403
2-Isopropylfuranyl fentanyl,85,24.6,21.81415364357865,2.7858463564213523,2.7858463564213523
β-Methyl acetyl fentanyl,86,12.6,13.73056354145854,-1.1305635414585407,1.1305635414585407
3-Methylbutyr fentanyl,87,22.2,21.813912727272697,0.3860872727273019,0.3860872727273019
β-Hydroxythiofentanyl,88,9.9,11.514427647907644,-1.6144276479076431,1.6144276479076431
Isovalerylfentanyl,89,22.7,22.28656428571429,0.4134357142857077,0.4134357142857077
3-Allyl fentanyl,90,23.4,22.71674428571428,0.6832557142857176,0.6832557142857176
para-Chlorofentanyl,91,20.8,20.984573174603177,-0.18457317460317668,0.18457317460317668
Trefentanil,92,22.9,16.466590714285722,6.433409285714276,6.433409285714276
Lofentanil,93,19.6,18.312811818181817,1.287188181818184,1.287188181818184
